Name,Lifetime[5],Nationality,Notable as,Notes[6]
Adam Silvera,b. 1990,American,Writer,G[117]
Makeda Silvera,b. 1955,Jamaican-Canadian,Writer,G[118]
Charles Silverstein,b. 1935,American,Writer,G[104]
Edith Simcox,1844–1901,English,Writer,L[119]
Eudy Simelane,1977–2008,South African,"Footballer, LGBT rights activist, hate crime murder victim",L[120]
Mima Simić,b. 1976,Croatian,"Writer, film critic, translator, LGBT activist",L[121]
Justin Simien,b. 1983,American,"Film director, screenwriter",G[122]
Joel Simkhai,b. circa 1979,Israeli-American,CEO and founder of geosocial networking and dating apps Grindr and Blendr,G[123]
E. Denise Simmons,b. ?,American,Politician,L[124]
Jaason Simmons,b. 1970,American,Actor,G[125]
Julian Simmons,b. 1952,Irish,TV presenter,G[126]
Roy Simmons,b. 1956,American,American football player,G[127]
Ana María Simo,b. ?[5],American,"Playwright, essayist, novelist",L[128]
Joshua Simon,b. 1990,Singaporean,Radio presenter,G[129]
Meagan Simonaire,b. 1990,American,Politician,B[130]
António Simões,b. 1975,Portuguese,Banking executive,G[131]
Nicholas Simons,b. ?[5],Canadian,Politician,G[132]
Mark Simpson,b. ?[5],British,"Journalist, writer, and broadcaster",G[133]
Marnie Simpson,b. ?[5],American,Reality TV personality,B[134]
Brian Sims,b. 1978,American,Politician; 1st openly gay elected state legislator in Pennsylvania's history,G[135]
Mary-Woo Sims,b. ?[5],Canadian,"Politician, activist",L[136]
Reynhard Sinaga,b. 1983,Indonesian,Convicted serial rapist,G[137]
H. A. Sinclair de Rochemont,1901–1942,Dutch,"Fascist, Nazi collaborator",G[138]
Nikki Sinclaire,b. 1968,English,Politician,L[139]
Kyrsten Sinema,b. 1976,American,Politician,B[140]
Alan Sinfield,1941–2017,English,"Professor, literary critic",G[141]
Bryan Singer,b. 1965,American,Film director,B[142][143]
Gary Singer,b. ?[5],Australian,Politician,G[144]
Winnaretta Singer,1865–1943,American,Patron,L[145]
Lilly Singh,b. 1988,Canadian,Comedian and YouTube personality,B[146]
Ranj Singh,b. 1979,British,"Doctor, TV presenter, author",G[147]
Paul Sinha,b. 1970,English,"GP, Comedian, Broadcaster Quiz player",G[148]
Hella von Sinnen,b. 1959,German,Comedian,L[149]
Hamed Sinno,b. 1988,Lebanese,"Rock singer, musician (Mashrou' Leila)",G[150]
Renée Sintenis,1888-1965,German,Sculptor and Olympic art medalist,L[151]
Oliver Sipple,1941–1989,American,Military veteran,G[152]
Clara Sipprell,1885–1975,Canadian,Photographer,L[153]
Ramchandra Siras,1948–2010,Indian,"Author, linguist, professor",G[154]
Christian Siriano,b. 1985,American,"Fashion designer, reality TV personality",G[155]
Osbert Sitwell,1892–1969,English,Wrtier,G[156]
Troye Sivan,b. 1995,Australian,"YouTube personality, singer, songwriter",G[157]
Siya,b. 1987,American,Rapper,L[158]
Harel Skaat,b. 1981,Israeli,Pop singer,G[7]
Gro Skartveit,b. 1965,Norwegian,Politician,L[8]
Stephen Skinner,b. ?[5],American,Politician,G[9]
Blake Skjellerup,b. 1985,New Zealand,Short track speed skater,G[10]
Vibeke Skofterud,1980–2018,Norwegian,Cross-country skier,L[11]
Katarzyna Skorupa,b. 1984,Polish,Volleyball player,L[12]
Rikke Skov,b. 1980,Danish,Handball player,L[13]
Gustáv Slamečka,b. 1959,Czech-Slovak,Politician,G[14]
Herman Slater,1935–1992,American,"Wiccan high priest, occult-bookstore proprietor, editor, publisher, author",G[15]
Tony Slattery,b. 1959,English,"Actor, comedian",G[16]
Jonathan Slavin,b. 1969,American,Actor,G[17]
Slayyyter,b. 1996,American,"Singer, songwriter",B[18]
Karla Šlechtová,b. 1977,Czech,Politician,L[19]
William Sledd,b. 1983,American,Internet personality,G[20]
Wayne Sleep,b. 1948,English,"Dancer, choreographer, actor",G[21]
Haaz Sleiman,b. 1976,Lebanese-American,Actor,G[22][23]
Eric Smaling,b. 1957,Dutch,"Politician, agronomist",G[24]
Alexander Smallens,1889–1972,Russian-American,"Conductor, music director",G[25]
Jeffrey Smart,1921–2013,Australian,Artist,G[26]
Pascal Smet,b. 1967,Belgian,Politician,G[27]
John Smid,b. ?[5],American,"Former minister and director of Love In Action, a conversion-therapy group",G[28]
Krzysztof Śmiszek,b. 1979,Polish,"Lawyer, politician",G[29]
Anna Nicole Smith,1967–2007,American,Model,B[30]
Barbara Smith,b. 1946,American,"Lesbian feminist, writer",L[31]
Bessie Smith,1892–1937,American,"Blues singer, musician",B[32]
Brian J. Smith,b. 1981,American,Actor,G[33]
"Chris Smith, Baron Smith of Finsbury",b. 1951,English,Politician,G[30]
Coral Smith,b. 1979,American,Actor,L[34]
Cory Michael Smith,b. 1986,American,Actor,G[35][36]
Debbie Smith,b. ?[5],English,"Rock musician (Curve, Echobelly, Nightnurse)",L[37]
Graham David Smith,b. 1937,American,"Artist, writer",G[38]
Gregory White Smith,1951–2014,American,Biographer,G[39]
Iain Smith,b. 1960,Scottish,Politician,G[40]
Jack Smith,1932–1989,American,"Film director, actor",G[41]
Jerry Smith,1943–1987,American,Football player,G[42]
Justice Smith,b. 1995,American,Actor,G[43]
Lillian Smith,1897–1966,American,Author,L[44]
Liz Smith,1923–2017,American,Gossip columnist,B[45]
Margaret Smith,b. 1961,Scottish,Politician,L[46]
Mary Rozet Smith,1868–1934,American,Philanthropist,L[47]
Michael V. Smith,b. ?[5],Canadian,"Writer, filmmaker",G[48]
Neil Smith,b. ?[5],Canadian,Writer,G[49]
Sam Smith,b. 1992,English,Singer,G[50]
Shepard Smith,b. 1964,American,TV news anchor,G[51]
Tammy Smith,b. 1963,American,U.S. Army Officer,L[52]
Tucker Smith,1936–1988,American,"Actor, dancer, singer",G[53]
Warren Allen Smith,1921–2017,American,"LGBT rights activist, writer",G[54]
Willi Smith,1948–1987,American,Fashion designer,G[55]
Willow Smith,b. 2000,American,"Singer, songwriter, actor, dancer",B[56]
George Smitherman,b. 1963,Canadian,Politician,G[57]
Benjamin Smoke,1960–1999,American,Musician,G[58]
Jussie Smollett,b. 1982,American,"Actor, singer and photographer",G[59]
Pamela Sneed,b. ?[5],American,"Poet, artist",L[60]
Jack Snow,1907–1956,American,"Science fiction, fantasy, horror writer",G[61]
Joan Snyder,b. 1940,American,Painter,B[62]
Stephen Snyder-Hill,b. 1970,American,"Soldier, activist",G[63]
Antoni Sobański,1898–1941,Polish,"Journalist, writer",G[64]
Richard Socarides,b. 1954,American,"Politician, businessman",G[65]
Socrates,470-399 BC,Athenian-Greek,Philosopher,G[66]
Soenghyang,b. 1948,American,Zen master,L[67][68]
Harriet Sohmers Zwerling,1928–2019,American,Writer,B[69]
Valerie Solanas,1936–1988,American,"Radical feminist, writer, attempted to kill artist Andy Warhol",L[70]
Kamal Al-Solaylee,b. 1964,Yemeni-Canadian,"Journalist, writer",G[71]
Pablo Soler Frost,b. 1965,Mexican,Writer,G[72]
Suzy Solidor,1900–1983,French,"Singer, actor",L[73]
Joe Solmonese,b. 1965,American,LGBT rights activist,G[74]
Andrew Solomon,b. 1963,American,Writer,G[75]
Simeon Solomon,1840–1905,English,Painter,G[76]
Jill Soloway,b. 1965,American,"TV creator, showrunner, director, writer",B[77]
Alex Somers,b. 1984,American,"Producer, artist, musician (Jónsi & Alex)",G[78]
Lord Henry Arthur George Somerset,1851–1926,English,Aristocrat,G[79]
Jason Somerville,b. 1987,American,Poker player,G[80]
Jimmy Somerville,b. 1961,Scottish,Pop musician,G[81]
Konstantin Somov,1869–1939,Russian,"Illustrator, painter",G[82]
Stephen Sondheim,b. 1930,American,Musical theater and film composer,G[83]
Wim Sonneveld,1917–1974,Dutch,Cabaret performer,G[84]
Susan Sontag,1933–2004,American,Writer,L[85]
Kaikhosru Shapurji Sorabji,1892–1988,English,"Composer, music critic, pianist, writer",G[86]
Gab Sorère,1870–1961,French,"Art promoter, set designer, filmmaker, choreographer",L[87]
Martin Sorrondeguy,b. 1967,American,"Punk rock musician (Los Crudos, Limp Wrist), filmmaker",G[88]
Sergey Sosedov,b. 1968,Russian,"Journalist, music critic, TV personality",G[89]
Jock Soto,b. 1965,American,Ballet dancer,G[90]
Diana Souhami,b. 1940,English,Writer,L[91]
Azariah Southworth,b. 1987,American,Christian TV host,G[92]
Felipa de Souza,1556–1600,Brazilian,"Victim of Catholic Inquisition, LGBT symbol",L[93]
Laís Souza,b. 1988,Brazilian,"Gymnast, skier",L[94]
Katie Sowers,b. 1986,American,First openly gay NFL coach,L[95]
Kevin Spacey,b. 1959,American,Actor,G[96]
Robert Spagnoletti,b. ?[5],American,"Attorney General, lawyer",G[97]
Douglas Spain,b. 1974,American,"Actor, director, producer",G[98]
Nancy Spain,1917–1964,English,"Journalist, broadcaster",L[99]
Anna Span,b. 1971,English,Pornographic director,B[100][101]
Sam Sparro,b. 1982,Australian,"Pop singer, songwriter, producer",G[102]
Allan Spear,1937–2008,American,Politician,G[103]
Doug Spearman,b. 1962,American,Actor,G[104]
Pat Spearman,b. 1955,American,"Politician, cleric, veteran",L[105]
Wieland Speck,b. 1951,German,Film director,G[106]
Cheryl Spector,1958–2007,American,LGBT rights activist,L[107]
Darren Spedale,b. ?[5],American,Businessman; founder of StartOut and FamilyByDesign,G[108]
Colin Spencer,b. 1933,English,"Writer, journalist, broadcaster",G[109]
Tom Spencer,b. 1948,English,Politician,G[110]
Muffin Spencer-Devlin,b. 1954,American,Golfer,L[111]
Stephen Spender,1909–1995,English,Writer,G[112]
Andrea Sperling,b. 1968/69[5],American,Film producer,L[113]
Jack Spicer,1925–1965,American,Poet,G[114]
Stephen Spinella,b. 1956,American,Actor,G[115]
Kevin Spirtas,b. 1962,American,Actor,G[116]
Sherida Spitse,b. 1990,Dutch,Footballer,L[117]
Adele Spitzeder,1832–1895,German,"Actress, folk singer, con artist",L[118]
Edward Spofford,1931–2014,American,Professor,G[119]
Mariasilvia Spolato,1935–2018,Italian,"LGBT rights activist, magazine publisher, editor",L[120]
Joel Spolsky,b. 1965,American,"Software engineer, writer",G[121]
Casey Spooner,b. 1970,American,Pop musician (Fischerspooner),G[122]
Lucy Spraggan,b. 1991,English,Singer-songwriter,L[123]
William Spratling,1900–1967,American-Mexican,"Silversmith, artist",G[124]
Lorrie Sprecher,b. 1960,American,"Writer, rock musician",L[125]
Dusty Springfield,1939–1999,English,Pop musician,B[126]
Annie Sprinkle,b. 1954,American,"Pornographic actor, writer, performance artist",B[127]
Maud Hunt Squire,1873–1954,American,"Painter, printmaker",L[128]
Ron Squires,1951–1993,American,Politician,G[129]
Dragoslav Srejović,1931–1996,Serbian,"Archeologist, historian",G[130]
Pam St. Clement,b. 1942,English,Actor,B[131]
Matthew Stadler,b. 1959,American,Writer,G[132]
Robert Stadlober,b. 1982,Austrian,"Actor, rock musician",G[133]
Peter Staley,b. 1961,American,Political activist,G[134]
George Stambolian,1938–1991,American,Poet,G[60]
Sam Stanley,b. 1991,English,Rugby player,G[135]
Nikki Stanton,b. 1990,American,Soccer player,L[136]
A. Latham Staples,b. 1977,American,LGBT activist,G[137]
Darren Star,b. 1961,American,TV and film producer,G[138]
Jeffree Star,b. 1986,American,"Make-up artist, media personality",G[139]
Freda Stark,1910–1999,New Zealand,Exotic dancer,L[140]
David Starkey,b. 1945,English,Historian,G[30]
Sławomir Starosta,b. 1965,Polish,"LGBT activist, musician, journalist, publisher",G[141]
Ellen Gates Starr,1859–1940,American,Social reformer,L[142]
Garrison Starr,b. 1975,American,Rock musician,G[143]
Caitlin Stasey,b. 1990,Australian,Actor,B[144]
Pajtim Statovci,b. 1990,Kosovar-Finnish,Author,G[145]
Jonny Staub,b. 1979,Canadian,Radio/television personality,G[146]
Pat Steadman,b. 1964,American,Politician,G[147]
Emma Stebbins,1815–1882,American,Artist,L[148]
Jan Steckel,b. 1962,American,Writer,B[149]
Chris Stedman,b. 1987,American,Activist,G[150]
Ashley Steel,b. 1959,British,Businessperson,L[151]
Ryan Steele,b. 1990,American,Actor,G[152]
Dré Steemans,1954–2009,Belgian,TV and radio host,G[153]
Liz Stefanics,b. 1950,American,Politician,L[154]
Joey Stefano,1968–1994,American,Pornographic actor,G[155]
Joseph Steffan,b. 1964,American,"Lawyer, activist",G[156]
Darren Stein,b. 1971,American,"Film director, screenwriter",G[157]
Gertrude Stein,1874–1946,American,Writer,L[158]
Larry Steinbachek,1960–2017,English,Pop musician (Bronski Beat),G[159]
Marianne Steinbrecher,b. 1983,Brazilian,Volleyball player,L[160]
Andreas Steinhöfel,b. 1962,German,"Writer, translator",G[161]
Amandla Stenberg,b. 1998,American,Actor,L[162]
Eric Stenbock,1858–1895,German,"Poet, writer",G[163]
Nicole Stéphane,1923–2007,French,Actor,L[164]
Darryl Stephens,b. 1974,American,Actor,G[165]
Helen Stephens,1918–1994,American,"Track and field athlete, double Olympic champion",G[166]
Ian Stephens,1955—1996,Canadian,"Poet, spoken word artist, journalist",G[167]
Sandy Stern,b. ?[5],American,Film producer,G[168]
Friedrich Wilhelm von Steuben,1730–1794,Prussian,Army general,G[169][170][171]
Marsha Stevens,b. 1952,American,Contemporary Christian musician,L[172]
Noreen Stevens,b. 1962,Canadian,Comics artist,L[173]
Tim Stevenson,b. 1945[5],Canadian,Politician,G[174]
Dennis Cleveland Stewart,1947–1994,American,Actor,G[175]
James B. Stewart,b. 1952,American,"Lawyer, writer",G[74]
Jamie Stewart,b. 1978,American,Rock musician (Xiu Xiu),B[176]
Kristen Stewart,b. 1990,American,Actress,B[177]
Peter Stickles,b. 1976,American,Actor,G[178]
David Ogden Stiers,b. 1942,American,Actor,G[179]
Lidia S. Stiglich,b. 1969,American,Associate Justice of the Supreme Court of Nevada,L[180]
Andrew Stimpson,b. 1980,Scottish,HIV patient,G[181]
Michael Stipe,b. 1960,American,Singer-songwriter (R.E.M.),B[182]
James Stoll,1936–1994,American,Clergy,G[183]
Kim Stolz,b. 1983,American,Model,L[184]
Nic Stone,b. 1985,American,Writer,B[185]
Randy Stone,1958–2007,American,"Actor, casting director",G[186]
Alyson Stoner,b. 1993,American,"Actor, singer, dancer, model",B[187]
Casey Stoney,b. 1982,English,Footballer,L[188]
Jim Stork,b. 1966,American,Politician,G[189]
Beth Storry,b. 1978,English,Field hockey goalkeeper,L[190]
Zoë Strachan,b. 1975,Scottish,"Novelist, journalist",L[191]
Lytton Strachey,1880–1932,English,"Writer, critic",G[192]
Vitória Strada,b. 1996,Brazilian,Actress,L[193]
Jeffery Straker,b. ?,Canadian,Folk-pop singer-sogwriter,G[194]
Steve Strange,1959–2015,Welsh,Pop singer (Visage),B[195]
Zoe Strauss,b. 1970,American,Photographer,L[196]
Billy Strayhorn,1915–1967,American,"Jazz composer, arranger, musician",G[197]
Maryan Street,b. 1955,New Zealand,Politician,L[198]
Keith Strickland,b. 1953,American,Rock musician (The B-52's),G[199]
Ray Stricklyn,1928–2002,American,Film actor,G[200]
Luke Strong,b. 1993,English,Trampoline gymnast,B[201]
Matěj Stropnický,b. 1983,Czech,Politician,G[202]
Martina Strutz,b. 1981,German,Pole vaulter,L[203]
Susan Stryker,b. ?[5],American,"LGBT professor, historian, author",L[204]
Jason Stuart,b. 1969,American,Actor,G[205]
Rennae Stubbs,b. 1971,Australian,Tennis player,L[206]
Gerry Studds,1937–2006,American,Politician,G[207]
Hans-Georg Stümke,1941–2002,German,"Author, teacher, historian, publisher",G[208]
Rebecca Sugar,b. 1987,American,"Animator, composer, director, show creator",B[209]
Fumie Suguri,b. 1980,Japanese,Figure skater,B[210]
Lucius Cornelius Sulla,138–78 BC,Roman,"General, consul, Roman dictator",G[211]
Andrew Sullivan,b. 1963,English,Journalist,G[212]
Kathleen Sullivan,b. 1955,American,Professor of Law,L[213]
Larry Sullivan,b. 1970,American,Actor,G[214]
Lou Sullivan,1951–1991,American,"Author, 1st transgender man to publicly identify as gay",G[215]
Richard Summerbell,b. 1956,Canadian,"Mycologist, LGBT rights activist",G[216]
Ben Summerskill,b. 1961,English,LGBT rights activist,G[30]
Siri Sunde,b. 1958,Norwegian,"Church of Norway priest, theologian",L[217]
Pia Sundhage,b. 1960,Swedish,"Footballer, coach",L[218]
Per Sundnes,b. 1966,Norwegian,"TV personality, journalist",G[219]
Ron Suresha,b. ?[5],American,Writer,G[220]
Svetlana Surganova,b. 1968,Russian,"Rock singer (Nochnye Snaipery), musician, poet",L[221]
Manil Suri,b. 1959,Indian-American,"Mathematician, author",G[222]
Victoria Sandell Svensson,b. 1977,Swedish,Footballer,L[223]
Alicia Svigals,b. 1963,American,Violinist (The Klezmatics),L[224]
Lennart Swahn,1927–2008,Swedish,"Journalist, radio and TV personality",G[225]
Ryan Jamaal Swain,b.?[5],American,"Actor, dancer",G[226]
Oscar Swartz,b. 1959,Swedish,"Writer, entrepreneur",G[227]
Swe Zin Htet,b. 1998/1999,Burmese,"Model, Miss Universe Myanmar 2019, first ever gay Miss Universe contestant",L[228]
Terry Sweeney,b. 1960,American,"Actor, screenwriter",G[229]
May Swenson,1913–1989,American,Poet,L[230]
Ember Swift,b. ?[5],Canadian,Folk-rock musician,L[231]
Kara Swisher,b. 1963,American,"Technology business journalist, co-founder of Recode",L[232]
Sheryl Swoopes,b. 1971,American,Basketball player,B[233]
Mattilda Bernstein Sycamore,b. ?[5],American,Writer,G[234]
Stacy Sykora,b. 1977,American,Volleyball player,L[235]
Sylvester,1947–1988,American,Disco and soul singer-songwriter,G[236]
John Addington Symonds,1840–1893,English,"Poet, literary critic",G[237]
Scott Symons,b. 1933,Canadian,Writer,G[238]
Wanda Sykes,b. 1964,American,"Comedian, actor",L[239]
Tuva Syvertsen,b. 1983,Norwegian,"Singer, musician",L[240]
Marcin Szczygielski,b. 1972,Polish,"Writer, journalist, graphic designer",G[241]
Mai-Mai Sze,1909–1992,Chinese,"Painter, writer",L[242]
Gábor Szetey,b. 1968,Hungarian,Politician,G[243]
Paulo Szot,b. 1969,Brazilian,"Opera baritone, actor",G[244]
Magda Szubanski,b. 1961,Australian,"Actor, comedian",L[245]
Karol Szymanowski,1882–1937,Polish,"Classical composer, musician",G[246]
Christopher Cabaldon,b. 1965,American,Politician,G[6]
Jorge Caballero,b. 1992,Mexican,Actor,G[7]
Luis Caballero,1943–1995,Colombian,Artist,G[8]
Lloyd Cadena,1933–2020,Filipino,"YouTuber, vlogger, author",G[9]
Jean-Daniel Cadinot,b. 1944,French,"Photographer, pornographic movie director",G[10]
Paul Cadmus,1904–1999,American,Artist,G[11]
Julius Caesar,100–44 BC,Roman,"Politician, general",B[12]
John Cage,1912–1992,American,Classical music composer,G[13]
Ece Ayhan Çağlar,1931–2002,Turkish,Poet,G[14]
Caitlin Cahow,b. 1985,American,Ice hockey player,L[15]
Claude Cahun,1894–1954,French,"Photographer, writer",L[16]
Roland Caillaux,1905–1977,French,"Actor, illustrator",G[17]
Reda Caire,1908–1963,Egyptian-French,Singer,G[18]
Cakes da Killa,b. ?[4],American,Rapper,G[19]
Francesco Calcagno,1528–1550,Italian,Franciscan friar executed for sodomy,G[20]
J. P. Calderon,b. 1975,American,"Volleyball player, TV personality",G[21]
Marcelo Calero,b. 1982,Brazilian,"Diplomat, politician",G[22]
Patrick Califia,b. 1954,American,Writer,B[23]
Caligula,12–41 CE,Roman,Emperor,B[24]
Oliver Callan,b. 1980,Irish,"Comedian, satirist, impressionist",G[25]
Anthony Callea,b. 1982,Australian,Pop musician,G[26]
Michael Callen,1955–1993,American,AIDS activist,G[27]
Simon Callow,b. 1949,English,Actor,G[28]
Susan Calman,b. 1974,Scottish,"Comedian, TV presenter, radio personality",L[29]
Anna Calvi,b. 1980,English,"Singer-songwriter, guitarist",L[30]
Javier Calvo,b. 1991,Spanish,"Actor, stage and theater director",G[31]
Jean Jacques Régis de Cambacérès,1753–1824,French,Lawyer,G[32]
Anne Cameron,b. 1938,Canadian,"Novelist, poet",L[33]
Edwin Cameron,b. 1953,South African,Judge,G[34]
Rhona Cameron,b. 1965,Scottish,Comedian,L[35]
Margarethe Cammermeyer,b. 1942,American,"LGBT rights activist, soldier",L[36]
Bobbi Campbell,1952–1984,American,HIV/AIDS activist,G[37]
Colin Campbell,1942–2001,Canadian,Video artist,G[38]
Tim Campbell,b. 1975,Australian,Actor,G[39]
Jennifer Camper,b. ?[4],American,Comics and graphic artist,L[40]
David Campos,b. 1970,Guatemalan-American,Politician,G[41]
Viola Canales,b. 1957,American,Writer,L or B[42]
Jasmyne Cannick,b. 1977,American,"Activist, pop culture critic, race issues commentator",L[43]
Justin R. Cannon,b. 1984,American,"Founder of TruthSetsFree.net, an affirming outreach ministry to gay and lesbian Christians",G[44]
Mario Cantone,b. 1959,American,"Comedian, actor",G[45]
James Cantor,b. 1966,Canadian,"Clinical psychologist, sexologist",G[46]
Lionel Cantú,1962–2002,American,"Novelist, sociology professor",G[47]
Roberto F. Canuto,b. 1973,Spanish,Filmmaker,G[48]
Jonathan Capeheart,b. 1967,American,Journalist,G[49]
Daniele Capezzone,b. 1972,Italian,Politician,B[50]
Truman Capote,1924–1984,American,"Author, playwright",G[51]
James Cappleman,b. 1952,American,Politician,G[52]
Scott Capurro,b. 1962,American,Comedian,G[53]
Gia Carangi,1960–1986,American,Model,B[54]
Emilio Carballido,1925–2008,Mexican,"Playwright, author",G[55]
Celeste Carballo,b. 1956,Argentine,Rock singer-songwriter,L[56]
Michael Carbonaro,b. 1976,American,"Actor, magician, improv artist",G[57]
Nancy Cárdenas,1934–1994,Mexican,"Playwright, actor, journalist",L[58]
Gloria Careaga Pérez,b. 1947,Mexican,Social psychologist,L[59]
Tammy Rae Carland,b. 1965,American,"Photographer, writer, filmmaker",L[60]
Andreas Carlgren,b. 1958,Swedish,Politician,G[61]
Brandi Carlile,b. 1981,American,Rock musician,L[62]
Benedetta Carlini,1591–1661,Italian,"Nun, mystic",L[63]
Kent Carlsson,b. 1962,Swedish,Politician,G[64]
Magnus Carlsson,b. 1974,Swedish,"Pop singer (Alcazar, Barbados)",G[65]
Vanessa Carlton,b. 1980,American,"Singer, songwriter",B[66]
Liz Carmouche,b. 1984,American,Mixed martial arts fighter,L[67]
Marcel Carné,1906–1996,French,Filmmaker,G[68]
Rachel Carns,b. 1969,American,"Musician, artist, performer",L[69]
Ana Carolina,b. 1974,Brazilian,Musician,B[70]
Hennessy Carolina,b. 1995,American,Social media and TV personality,B[71]
Cameron Carpenter,b. 1981,American,Organist,B[72]
Edward Carpenter,1844–1929,English,"Writer, LGB rights theoretician and activist",G[73]
Tim Carpenter,b. 1960,American,Politician,G[74]
Alan Carr,b. 1976,English,"Comedian, TV personality",G[75]
Dora Carrington,1893–1932,English,Artist,B[76]
Jim Carroll,1949–2009,American,"Poet, writer, rock musician",B[77]
Marco Carta,b. 1985,Italian,Pop singer,G[78]
Aaron Carter,b. 1987,American,Pop singer,B[79]
Chris Carter,b. 1952,New Zealand,Politician,G[80]
Charlie Carver,b. 1988,American,Actor,G[81]
Ted Casablanca,b. 1960,American,Journalist,G[82]
Roberto Casalino,b. 1979,Italian,"Pop singer, songwriter",G[83]
Giacomo Casanova,1725–1798,Venetian,"Traveller, writer",B[84]
Andie Case,b. 1992,American,"Singer, songwriter",B[85]
Roger Casement,1864-1916,Irish,"Diplomat, activist, poet",G[86]
Warren Casey,b. 1935,American,"Composer, lyricist",G[87]
Michael Cashman,b. 1950,English,"Actor, politician",G[88]
Neal Cassady,1926–1968,American,Major figure of Beat Generation,B[89]
Cassandro,b. 1970,Mexican,Professional wrestler,G[90]
Maggie Cassella,b. ?,American,Comedian,L[91]
Jack Cassidy,1927–1976,American,Actor,B[92]
Kelly Cassidy,b. ?,American,Politician,L[93]
Sherry Cassuto,1957–2016,American,Rower,L[94]
Jordi Castell,b. 1966,Chilean,Photographer,G[95]
P. J. Castellaneta,b. 1960,American,"Film director, screenwriter",G[96]
Derricia Castillo-Salazar,b. 1988,Belizean,"Military officer, aircraft maintenance officer of the Belize Defence Force, LGBT activist",L[97]
"Mervyn Tuchet, 2nd Earl of Castlehaven",1593–1631,English,Nobleman executed for rape and sodomy,G[98]
Immanuel Casto,b. 1983,Italian,"Singer, musician",G[99]
Sebastian Castro,b. 1989,American,"Actor, singer",G[100]
Carlos Castro,1945–2011,Portuguese,"Journalist, TV personality",G[101]
Claudia Castrosín Verdú,b. ?[4],Argentinian,Activist,L[102]
Clint Catalyst,b. 1971,American,"Writer, performer",G[103]
David Catania,b. 1968,American,Politician,G[104]
Dean and Dan Caten,b. 1964,Canadian,"Fashion designers, radio personalities, businessmen",G[105]
Willa Cather,1873–1947,American,Writer,L[106]
Ivan Cattaneo,b. 1953,Italian,Pop singer,G[107]
Catullus,84–54 BC,Roman,Poet,B[108]
Constantine P. Cavafy,1863–1933,Greek,Poet,B[109]
Megan Cavanagh,b. 1960,American,Actor,L[110]
Cazuza,1958–1990,Brazilian,Singer,G[111]
Cazwell,b. 1978,American,Rapper,G[112]
Rosalinda Celentano,b. 1968,Italian,Actor,L[113]
Benvenuto Cellini,1500–1571,Italian,"Sculptor, goldsmith",B[114]
Petru Cercel,1556–1590,Romanian,Ruler of Wallachia,G[115]
Luis Cernuda,1902–1963,Spanish,Poet,G[116]
Mário Cesariny de Vasconcelos,1923–2006,Portuguese,Poet,G[117]
Vakhtang Chabukiani,1910–1992,Georgian,"Ballet dancer, choreographer",G[118]
Ilene Chaiken,b. 1957,American,"Writer, TV producer",L[119]
John Challis,b. 1928,Australian,LGBT rights activist,G[120]
Joan Chalmers,1928–2016,Canadian,Philanthropist,G[121]
Richard Chamberlain,b. 1934,American,Actor,G[122]
Kevin Chamberlin,b. 1963,American,Actor,G[123]
Sam Champion,b. 1961,American,TV weather presenter,G[124]
Peter I. Chang,b. 1973,Taiwanese,"Artist, illustrator, filmmaker",G[125]
Graham Chapman,1941–1989,English,Comedian (Monty Python),G[126]
Tracy Chapman,b. 1964,American,Singer-songwriter,L[127]
Greyson Chance,b. 1997,American,Musician,G[128]
Raymond Chan Chi-chuen,b. 1972,Hong Kong,Politician; 1st openly gay legislator in Hong Kong and Greater China,G[129]
Dutee Chand,b. 1996,Indian,Sprinter,B[130]
Spencer Chandra Herbert,b. 1981,Canadian,Politician,G[131]
Grace Channer,b. 1959,British-Canadian,Painter and multi-media visual artist,L[132]
Krzysztof Charamsa,b. 1972,Polish,Catholic priest and theologian,G[133]
Erik Charell,1894–1974,German,"Dancer, actor, theatre and film director",G[134]
E. Otis Charles,1926–2013,American,Episcopal bishop,G[135]
Ian Charleson,1949–1990,Scottish,Actor,G[136]
Mark Chatfield,1953–1998,American,Swimmer,G[137]
Bruce Chatwin,1940–1989,English,"Novelist, travel writer",B[138]
George Chauncey,b. 1954,American,"Author, professor",G[139]
Charles Chauvel,b. 1969,New Zealand,Politician,G[140]
Christian Chávez,b. 1983,Mexican,"Latin pop musician, actor",G[141]
Alexander Chee,b. 1957,American,Writer,G[142]
John Cheever,1912–1982,American,Writer,B[143]
Pamela K. Chen,b. 1961,American,Judge of the U.S. District Court,L[144]
Justin Chenette,b. 1991,American,Politician,G[145]
Mary Cheney,b. 1969,American,Daughter of U.S. Vice President Dick Cheney,L[146]
Davi Cheng,b. ?[4],Hong Kong-American,"Artist, graphic designer",L[147]
Enno Cheng,b. 1987,Taiwanese,"Actor, singer",L[148]
Sébastien Chenu,b. 1973,French,Politician,G[149]
Patrice Chéreau,1944–2013,French,"Actor, director",G[150]
Joanna Cherry,b. 1966,Scottish,Politician,L[151]
Marc Cherry,b. 1962,American,"TV writer, producer",G[152]
Neneh Cherry,b. 1964,Swedish,Pop musician,B[153]
C. J. Cherryh,b. 1942,American,Speculative fiction writer,L[154]
Alfred Chester,1928–1971,American,Writer,G[155]
Craig Chester,b. 1965,American,"Actor, screenwriter",G[156]
Leslie Cheung,1956–2003,Hong Kong,"Actor, pop musician",B[157]
Ken Cheuvront,b. 1961,American,Politician,G[158]
